,name,year,max_wind,name_year,hurricane_id,date,time,status,latitude,longitude,air_pressure,latitude_decimal,longitude_decimal
134,Brenda,1964,45,Brenda_1964,120,19640808,600,TD,33.0N,67.0W,-999,33.0,-67.0
207,Cleo,1964,130,Cleo_1964,121,19640820,1800,TS,13.1N,44.3W,1003,13.02,-44.05
277,Dora,1964,115,Dora_1964,122,19640828,1200,TD,14.0N,17.0W,-999,14.0,-17.0
357,Ethel,1964,90,Ethel_1964,123,19640904,600,TD,17.7N,35.6W,-999,17.12,-35.1
391,Florence,1964,40,Florence_1964,124,19640905,600,TD,14.5N,18.0W,1004,14.08,-18.0
461,Gladys,1964,115,Gladys_1964,125,19640913,600,TS,14.7N,44.5W,-999,14.12,-44.08
523,Hilda,1964,120,Hilda_1964,126,19640928,1200,TD,21.2N,80.0W,-999,21.03,-80.0
569,Isbell,1964,100,Isbell_1964,127,19641009,600,TD,15.5N,83.0W,-999,15.08,-83.0
52,Anna,1965,90,Anna_1965,128,19650821,600,TS,32.4N,52.3W,-999,32.07,-52.05
111,Betsy,1965,120,Betsy_1965,129,19650827,0,TD,11.0N,50.5W,-999,11.0,-50.08
152,Carol,1965,80,Carol_1965,130,19650916,600,TD,13.3N,20.1W,-999,13.05,-20.02
239,Debbie,1965,50,Debbie_1965,131,19650924,1200,TD,17.3N,85.0W,-999,17.05,-85.0
315,Elena,1965,95,Elena_1965,132,19651012,1200,TD,16.5N,47.5W,-999,16.08,-47.08
30,Alma,1966,110,Alma_1966,133,19660604,600,TD,12.7N,84.0W,-999,12.12,-84.0
88,Becky,1966,65,Becky_1966,134,19660701,1800,TD,32.4N,57.8W,-999,32.07,-57.13
157,Celia,1966,70,Celia_1966,135,19660713,1200,TD,19.1N,59.5W,-999,19.02,-59.08
321,Ella,1966,45,Ella_1966,136,19660722,1200,TD,10.0N,35.0W,-999,10.0,-35.0
283,Dorothy,1966,75,Dorothy_1966,137,19660722,1800,TD,31.0N,41.0W,-999,31.0,-41.0
364,Faith,1966,110,Faith_1966,138,19660821,0,TD,12.9N,20.5W,-999,12.15,-20.08
480,Greta,1966,50,Greta_1966,139,19660901,1200,TD,13.7N,48.4W,-999,13.12,-48.07
488,Hallie,1966,45,Hallie_1966,140,19660920,1200,TD,21.5N,95.4W,-999,21.08,-95.07
545,Inez,1966,130,Inez_1966,141,19660921,1200,TD,9.9N,35.1W,-999,9.15,-35.02
613,Judith,1966,45,Judith_1966,142,19660927,0,TD,10.8N,43.2W,-999,10.13,-43.03
669,Lois,1966,70,Lois_1966,143,19661104,1200,TD,26.5N,50.0W,-999,26.08,-50.0
57,Arlene,1967,75,Arlene_1967,144,19670828,1800,TD,15.8N,35.8W,-999,15.13,-35.13
178,Chloe,1967,95,Chloe_1967,145,19670905,0,TD,15.4N,20.3W,-999,15.07,-20.05
115,Beulah,1967,140,Beulah_1967,146,19670905,1200,TD,14.0N,57.0W,-999,14.0,-57.0
278,Doria,1967,75,Doria_1967,147,19670908,0,TD,28.5N,77.5W,1010,28.08,-77.08
300,Edith,1967,50,Edith_1967,148,19670926,1200,TD,12.5N,47.0W,-999,12.08,-47.0
374,Fern,1967,75,Fern_1967,149,19671001,1800,TD,20.3N,93.0W,1005,20.05,-93.0
457,Ginger,1967,45,Ginger_1967,150,19671005,1200,TD,17.0N,18.3W,-999,17.0,-18.05
503,Heidi,1967,80,Heidi_1967,151,19671019,1200,TD,20.5N,54.0W,-999,20.08,-54.0
2,Abby,1968,65,Abby_1968,152,19680601,600,TD,17.2N,85.5W,-999,17.03,-85.08
135,Brenda,1968,65,Brenda_1968,153,19680617,1200,TD,24.0N,80.5W,-999,24.0,-80.08
146,Candy,1968,60,Candy_1968,154,19680622,1800,TD,20.0N,96.0W,-999,20.0,-96.0
267,Dolly,1968,70,Dolly_1968,155,19680810,0,TD,25.0N,79.0W,1013,25.0,-79.0
304,Edna,1968,55,Edna_1968,156,19680911,1800,TD,12.7N,21.1W,-999,12.12,-21.02
414,Frances,1968,50,Frances_1968,157,19680923,1200,TD,26.0N,74.0W,-999,26.0,-74.0
462,Gladys,1968,75,Gladys_1968,158,19681013,1200,TD,14.0N,80.5W,-999,14.0,-80.08
53,Anna,1969,60,Anna_1969,159,19690725,600,TD,9.2N,27.0W,-999,9.03,-27.0
120,Blanche,1969,75,Blanche_1969,160,19690811,0,TD,28.1N,71.7W,-999,28.02,-71.12
240,Debbie,1969,105,Debbie_1969,161,19690814,1200,TD,13.0N,35.5W,-999,13.0,-35.08
144,Camille,1969,150,Camille_1969,162,19690814,0,TD,18.3N,79.7W,-999,18.05,-79.12
358,Eve,1969,50,Eve_1969,163,19690825,0,TD,29.5N,78.5W,-999,29.08,-78.08
412,Francelia,1969,100,Francelia_1969,164,19690829,0,TD,11.5N,62.0W,-999,11.08,-62.0
446,Gerda,1969,110,Gerda_1969,165,19690906,0,TD,24.5N,77.0W,1015,24.08,-77.0
524,Holly,1969,75,Holly_1969,166,19690914,1200,TD,11.9N,47.4W,-999,11.15,-47.07
547,Inga,1969,100,Inga_1969,167,19690920,1200,TD,16.0N,47.0W,-999,16.0,-47.0
586,Jenny,1969,40,Jenny_1969,168,19691001,1200,TD,19.0N,83.7W,-999,19.0,-83.12
617,Kara,1969,90,Kara_1969,169,19691007,1200,TD,20.5N,68.0W,-999,20.08,-68.0
653,Laurie,1969,90,Laurie_1969,170,19691017,0,TD,17.3N,85.1W,1007,17.05,-85.02
683,Martha,1969,80,Martha_1969,171,19691121,1200,TS,10.3N,81.0W,-999,10.05,-81.0
31,Alma,1970,70,Alma_1970,172,19700517,1800,TD,11.5N,79.0W,-999,11.08,-79.0
89,Becky,1970,55,Becky_1970,173,19700719,0,TD,18.5N,83.5W,-999,18.08,-83.08
158,Celia,1970,110,Celia_1970,174,19700731,0,TD,18.5N,82.5W,1008,18.08,-82.08
284,Dorothy,1970,60,Dorothy_1970,175,19700817,1200,TD,11.0N,41.0W,-999,11.0,-41.0
322,Ella,1970,110,Ella_1970,176,19700908,1200,TD,15.3N,83.5W,-999,15.05,-83.08
