,date,name,time,status,latitude,longitude,max_wind,air_pressure,latitude_decimal,longitude_decimal,year
29051,20180830,Florence,600,LO,12.8N,16.9W,20,1008,12.13,-16.15,2018
29130,20180902,Gordon,1800,DB,22.4N,77.0W,25,1012,22.07,-77.0,2018
29155,20180907,Helene,1200,TD,13.4N,16.8W,30,1004,13.07,-16.13,2018
29197,20180907,Isaac,1200,TD,13.5N,35.0W,30,1007,13.08,-35.0,2018
29228,20180912,Joyce,0,EX,37.0N,39.8W,45,1012,37.0,-39.13,2018
29267,20180921,Eleven,1800,TD,12.9N,52.5W,30,1008,12.15,-52.08,2018
29272,20180922,Kirk,600,TD,7.7N,21.8W,30,1007,7.12,-21.13,2018
29300,20180922,Leslie,0,EX,35.0N,45.0W,25,1008,35.0,-45.0,2018
29389,20181006,Michael,1800,LO,17.8N,86.6W,25,1006,17.13,-86.1,2018
29427,20181008,Nadine,1200,LO,9.3N,26.7W,25,1009,9.05,-26.12,2018
29445,20181026,Oscar,1800,SS,25.4N,45.3W,35,1006,25.07,-45.05,2018
29481,20190520,Andrea,1800,SS,28.1N,68.6W,35,1008,28.02,-68.1,2019
29488,20190710,Barry,1200,DB,28.5N,86.5W,25,1009,28.08,-86.08,2019
29513,20190722,Three,1200,TD,24.6N,77.4W,25,1013,24.1,-77.07,2019
29518,20190820,Chantal,1800,TD,40.1N,59.7W,30,1008,40.02,-59.12,2019
29543,20190824,Dorian,600,TD,10.3N,46.4W,25,1011,10.05,-46.07,2019
29613,20190826,Erin,1200,TD,31.7N,72.7W,30,1010,31.12,-72.12,2019
29627,20190903,Fernand,600,DB,23.6N,94.0W,30,1006,23.1,-94.0,2019
29636,20190903,Gabrielle,0,LO,16.1N,30.1W,25,1007,16.02,-30.02,2019
29671,20190912,Humberto,1200,LO,23.0N,74.2W,25,1010,23.0,-74.03,2019
29705,20190917,Jerry,0,LO,12.6N,42.6W,25,1009,12.1,-42.1,2019
29750,20190917,Imelda,1200,TD,28.3N,95.7W,30,1008,28.05,-95.12,2019
29759,20190922,Karen,0,TD,11.5N,58.8W,30,1007,11.08,-58.13,2019
29784,20190922,Lorenzo,1800,LO,10.9N,18.8W,25,1008,10.15,-18.13,2019
29832,20191008,Melissa,1800,EX,35.0N,74.1W,40,1009,35.0,-74.02,2019
29857,20191014,Fifteen,1200,TD,12.6N,19.3W,30,1006,12.1,-19.05,2019
29870,20191017,Nestor,1200,DB,22.2N,95.7W,35,1007,22.03,-95.12,2019
29885,20191025,Olga,1200,TS,24.7N,94.8W,35,1004,24.12,-94.13,2019
29895,20191023,Pablo,1800,EX,40.0N,38.3W,40,1000,40.0,-38.05,2019
29917,20191027,Rebekah,0,EX,40.5N,51.5W,35,1004,40.08,-51.08,2019
29940,20191119,Sebastien,600,TS,19.4N,58.1W,35,1006,19.07,-58.02,2019
