,hurricane_id,date,name,time,status,latitude,longitude,max_wind,air_pressure,latitude_decimal,longitude_decimal,year
146,147,19670908,Doria,0,TD,28.5N,77.5W,25,1010,28.08,-77.08,1967
147,148,19670926,Edith,1200,TD,12.5N,47.0W,30,-999,12.08,-47.0,1967
148,149,19671001,Fern,1800,TD,20.3N,93.0W,25,1005,20.05,-93.0,1967
149,150,19671005,Ginger,1200,TD,17.0N,18.3W,30,-999,17.0,-18.05,1967
150,151,19671019,Heidi,1200,TD,20.5N,54.0W,25,-999,20.08,-54.0,1967
151,152,19680601,Abby,600,TD,17.2N,85.5W,30,-999,17.03,-85.08,1968
152,153,19680617,Brenda,1200,TD,24.0N,80.5W,25,-999,24.0,-80.08,1968
153,154,19680622,Candy,1800,TD,20.0N,96.0W,25,-999,20.0,-96.0,1968
154,155,19680810,Dolly,0,TD,25.0N,79.0W,25,1013,25.0,-79.0,1968
155,156,19680911,Edna,1800,TD,12.7N,21.1W,25,-999,12.12,-21.02,1968
156,157,19680923,Frances,1200,TD,26.0N,74.0W,25,-999,26.0,-74.0,1968
157,158,19681013,Gladys,1200,TD,14.0N,80.5W,25,-999,14.0,-80.08,1968
158,159,19690725,Anna,600,TD,9.2N,27.0W,30,-999,9.03,-27.0,1969
159,160,19690811,Blanche,0,TD,28.1N,71.7W,30,-999,28.02,-71.12,1969
160,161,19690814,Debbie,1200,TD,13.0N,35.5W,25,-999,13.0,-35.08,1969
161,162,19690814,Camille,0,TD,18.3N,79.7W,30,-999,18.05,-79.12,1969
162,163,19690825,Eve,0,TD,29.5N,78.5W,30,-999,29.08,-78.08,1969
163,164,19690829,Francelia,0,TD,11.5N,62.0W,30,-999,11.08,-62.0,1969
164,165,19690906,Gerda,0,TD,24.5N,77.0W,25,1015,24.08,-77.0,1969
165,166,19690914,Holly,1200,TD,11.9N,47.4W,25,-999,11.15,-47.07,1969
166,167,19690920,Inga,1200,TD,16.0N,47.0W,25,-999,16.0,-47.0,1969
167,168,19691001,Jenny,1200,TD,19.0N,83.7W,25,-999,19.0,-83.12,1969
168,169,19691007,Kara,1200,TD,20.5N,68.0W,25,-999,20.08,-68.0,1969
169,170,19691017,Laurie,0,TD,17.3N,85.1W,25,1007,17.05,-85.02,1969
170,171,19691121,Martha,1200,TS,10.3N,81.0W,45,-999,10.05,-81.0,1969
171,172,19700517,Alma,1800,TD,11.5N,79.0W,25,-999,11.08,-79.0,1970
172,173,19700719,Becky,0,TD,18.5N,83.5W,25,-999,18.08,-83.08,1970
173,174,19700731,Celia,0,TD,18.5N,82.5W,25,1008,18.08,-82.08,1970
174,175,19700817,Dorothy,1200,TD,11.0N,41.0W,25,-999,11.0,-41.0,1970
175,176,19700908,Ella,1200,TD,15.3N,83.5W,25,-999,15.05,-83.08,1970
176,177,19700912,Felice,0,TD,25.5N,77.5W,25,-999,25.08,-77.08,1970
177,178,19700926,Greta,1200,TS,22.4N,75.4W,35,1010,22.07,-75.07,1970
178,179,19710704,Arlene,1200,TD,33.5N,75.5W,25,-999,33.08,-75.08,1971
179,180,19710810,Beth,1200,TD,26.7N,79.9W,20,-999,26.12,-79.15,1971
180,181,19710818,Chloe,1200,TD,13.0N,52.5W,30,1007,13.0,-52.08,1971
181,182,19710820,Doria,1200,TD,11.5N,47.0W,25,-999,11.08,-47.0,1971
182,183,19710903,Fern,1200,TD,27.5N,87.5W,25,-999,27.08,-87.08,1971
183,184,19710905,Edith,1800,TD,11.4N,58.0W,25,1010,11.07,-58.0,1971
184,185,19710906,Ginger,0,TD,25.5N,71.5W,25,-999,25.08,-71.08,1971
